date,negative,netural,positive
2020-11-18,18.13389302,-24.39196423,17.28139475
2020-11-19,21.93450706,-21.04064322,10.47882473
2020-11-20,14.64393137,-16.65359384,7.145481512
2020-11-23,8.530658573,-21.02328712,19.43066327
2020-11-24,-9.968484186,-21.75117394,40.05794266
2020-11-25,-13.2759283,-31.86344749,51.21315658
2020-11-26,38.90320688,-23.53636104,-2.120828144
2020-11-27,32.65877517,-21.41596571,2.114323005
2020-11-30,34.05520056,-20.57730573,-1.058986247
2020-12-1,30.4718357,-30.70306441,15.54522002
2020-12-2,21.09828688,-24.91931117,12.6172366
2020-12-3,2.125970347,-22.87373504,27.26128773
2020-12-4,37.92060548,-25.68384454,4.156695455
2020-12-7,13.56350351,-22.56808096,18.18388414
2020-12-8,27.06046337,-25.59644607,9.887839362
2020-12-9,5.932382789,-27.48659024,26.58584946
2020-12-10,-2.281905498,-31.66333932,45.43421006
2020-12-11,23.85299166,-26.80703944,15.03641409
2020-12-14,-9.345549703,-24.93922296,43.28172357
2020-12-15,7.223916292,-19.33607137,21.27394807
